title,description,category
The Seductions of Biography,"The Seductions of Biography is an important volume which sheds new light on a flourishing literary form, the biography. In postmodern culture, new methods and intentions emerge, as well as new obstacles, towards our understanding of biography as a genre. This book provides a thorough exploration of this genre, from a wide range of postmodern perspectives. The Seductions of Biography brings together a number of essays which reflect in culturally critical as well as autobiographical terms on current themes and practices of contemporary biography. Issues addressed by these essays focus on the postmodern dilemma itself--as new voices from excluded communities make themselves heard in biographical works, the decentralization of new issues, such as gender, ethnicity, and sexuality, becomes problematic. Contributors question the responsibilities a biographer has, both to the subject and the public, and consider also questions of morality and taste; for example, is it fair to use private tapings made by your subject's analyst? And how much do we really need to know about Eleanor Roosevelt's sex life? The impact of sexuality on our reading of public figures is addressed, as well as other issues which explore the popular and provocative nature of biography. Interdisciplinary and wide-ranging in scope, The Seductions of Biography will appeal to biographers, historians, cultural critics, and the vast population of avid biography readers. Contributors: Kwame Anthony Appiah, Clark Blaise, Marilyn L. Brownstein, Blanche Wiesen Cook, John D'Emilio, Jeffrey Louis Decker, Michael Eric Dyson, Diana Fuss, Marjorie Garber, Henry Louis Gates, Jr., Hayden Herrera, Maurice Isserman, Barbara Johnson, William S. McFeely, Diane Wood Middlebrook, Richard J. Powell, Phyllis Rose, Doris Sommer, Marita Sturken, Sherley Anne Williams, Jean Fagan Yellin",Biography
Mussolini: an Intimate Biography,Om den italienske diktator fortalt af hans hustru,Biography
Shakespeare,"Sheds new light on the life of the great Elizabethan playwright and poet, reassessing Shakespeare's work within the context of sixteenth-century London and Stratford-upon-Avon, as well as his lasting legacy for world literature.",Biography
Vivekananda: A Biography,"In the list of biographies of Swami Vivekananda published by Advaita Ashrama, publication house of Ramakrishna Math, Belur Math, we have one which extensively narrates his life, and also one which presents him very briefly. The present book stands midway between these extremes. Herein the readers will find his life described in a short compass, without sacrificing the essential details. This is a masterly presentation of his life from the pen of a scholar of repute. A worthy book for all those who want to study Vivekananda in brief without loosing the crucial aspects of his life.",Biography
"Memoir of William Carey, D. D., Late Missionary to Bengal, Professor of Oriental Languages in the College of Fort William, Calculta","Reprint of the original, first published in 1836.",Biography
A Memoir of Jane Austen (Annotated and Illustrated),"A Memoir of Jane Austen By James Edward Austen-Leigh An Annotated and Illustrated Version.James Edward Austen-Leigh's Memoir of his aunt Jane Austen was published in 1870, over fifty years after her death. Together with the shorter recollections of James Edward's two sisters, Anna Lefroy and Caroline Austen, the Memoir remains the prime authority for her life and continues to inform all subsequent accounts. These are family memories, the record of Jane Austen's life shaped and limited by the loyalties, reserve, and affection of nieces and nephews recovering in old age the outlines of the young aunt they had each known. They still remembered the shape of her bonnet and the tone of her voice, and their first-hand accounts bring her vividly before us. Their declared partiality also raises fascinating issues concerning biographical truth, and the terms in which all biography functions.",Biography
A Collection of Biographies of 4 Kriya Yoga Gurus by Swami Satyananda Giri,"A Collection of Biographies of 4 Kriya Yoga Gurus contains the following four books originally written in Bengali: 1) Yogiraj Shyama Charan Lahiri Mahasaya: A Biography by Swami Satyananda Giri 2) Yogacharya Shastri Mahasaya: A Short Biographical Sketch of Hansaswami Kebalanandaji Maharaj by Swami Satyananda Giri 3) Swami Sriyukteshvar Giri Maharaj: A Biography by Swami Satyananda Giri 4) Yogananda Sanga: Paramhansa Yoganandaji As I Have Seen and Understood Him by Swami Satyananda Giri The collection also contains: Kriya Quotes, excerpts of an interview with Swami Satyananda. Translated into English by Yoga Niketan. 313 pages.",Biography
Memoir of Hungary,The novel Embers is selling in tens of thousand in a number of countries. This memoir of its author depicts Hungary between 1944 and 1948.,Biography
Dictionary of National Biography(pereira-Pockrich),"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",Biography
Ché Guevara,"The controversial life and career of Ernesto Ché Guevara (1928-1967) has earned the revolutionary leader admirers and detractors across the world. This biography penetrates the myths that have grown up around Guevara since his death. The author carefully analyzes the Cold War situations in which Guevara lived and fought, and which turned the young medical student into a guerilla and political theoretician. This volume includes interviews with Guevara's first wife, and extensive information on the revolutionary's early years and family life lacking in other biographies. The author also discusses Guevara's actions in Cuba as a leader in the rebel army of Fidel Castro, covering in detail Guevara's military victories, his post-war executions of anti-Castro prisoners, and his criticism of Soviet Communism. This unsparing portrait of Guevara even includes and an in-depth examination of his last guerilla campaign in Bolivia.",Biography
Mother Teresa of Calcutta,"A portrait of the Nobel Peace Prize recipient beginning with her childhood. Includes her decision to devote herself to the poor, her methods of serving others, and her thoughts on human issues.",Biography
Vaccines: A Biography,"Why another book about vaccines? There are already a few extremely well-written medical textbooks that provide comprehensive, state-of-the-art technical reviews regarding vaccine science. Additionally, in the past decade alone, a number of engrossing, provocative books have been published on various related issues ra- ing from vaccines against specific diseases to vaccine safety and policy. Yet there remains a significant gap in the literature – the history of vaccines. Vaccines: A Biography seeks to fill a void in the extant literature by focusing on the history of vaccines and in so doing, recounts the social, cultural, and scientific history of vaccines; it places them within their natural, historical context. The book traces the lineage – the “biography” – of individual vaccines, originating with deeply rooted medical problems and evolving to an eventual conclusion. Nonetheless, these are not “biographies” in the traditional sense; they do not trace an individual’s growth and development. Instead, they follow an idea as it is conceived and dev- oped, through the contributions of many. These are epic stories of discovery, of risk-takers, of individuals advancing medical science, in the words of the famous physical scientist Isaac Newton, “by standing on the shoulders of giants. ” One grant reviewer described the book’s concept as “triumphalist”; although meant as an indictment, this is only partially inaccurate.",Biography
A Biography of No Place,"This is a biography of a borderland between Russia and Poland, a region where, in 1925, people identified as Poles, Germans, Jews, Ukrainians, and Russians lived side by side. Over the next three decades, this mosaic of cultures was modernized and homogenized out of existence by the ruling might of the Soviet Union, then Nazi Germany, and finally, Polish and Ukrainian nationalism. By the 1950s, this “no place” emerged as a Ukrainian heartland, and the fertile mix of peoples that defined the region was destroyed. Kate Brown’s study is grounded in the life of the village and shtetl, in the personalities and small histories of everyday life in this area. In impressive detail, she documents how these regimes, bureaucratically and then violently, separated, named, and regimented this intricate community into distinct ethnic groups. Drawing on recently opened archives, ethnography, and oral interviews that were unavailable a decade ago, A Biography of No Place reveals Stalinist and Nazi history from the perspective of the remote borderlands, thus bringing the periphery to the center of history. We are given, in short, an intimate portrait of the ethnic purification that has marked all of Europe, as well as a glimpse at the margins of twentieth-century “progress.”",Biography
True Stories of History and Biography,"Nathaniel Hawthorne (1804-1864) was a 19th century American novelist and short story writer. He is seen as a key figure in the development of American literature for his tales of the nation's colonial history. Nathaniel Hawthorne was born on July 4, 1804, in Salem, Massachusetts, where his birthplace is now a museum. William Hathorne, who emigrated from England in 1630, was the first of Hawthorne's ancestors to arrive in the colonies. Hawthorne attended Bowdoin College at the expense of an uncle from 1821 to 1824, befriending classmates Henry Wadsworth Longfellow and future president Franklin Pierce. Hawthorne is best-known today for his many short stories (he called them ""tales"") and his four major romances written between 1850 and 1860: The Scarlet Letter (1850), The House of the Seven Gables (1851), The Blithedale Romance (1852) and The Marble Faun (1860). Another novel-length romance, Fanshawe was published anonymously in 1828. Hawthorne's work belongs to Romanticism, an artistic and intellectual movement characterized by an emphasis on individual freedom from social conventions or political restraints, on human imagination, and on nature in a typically idealized form.",Biography
Muhammad,"A life of the prophet Muhammad by bestselling author Karen Armstrong. 'Armstrong has a dazzling ability: she can take a long and complex subject and reduce it to its fundamentals, without over-simplifying' SUNDAY TIMES 'One of our best living writers on religion' FINANCIAL TIMES 'Not just a sympathetic book that would dispel the misconceptions and misgivings of its western readers, but also a book that is of considerable importance to Muslims' MUSLIM NEWS Most people in the West know very little about the prophet Muhammad. The acclaimed religious writer Karen Armstrong has written a biography which will give us a more accurate and profound understanding of Islam and the people who adhere to it so strongly. Muhammad also offers challenging comparisons with the two religions most closely related to it - Judaism and Christianity.",Biography
